iter	MAPE	RMSE	R2	MAE
458	0.299699655	532255.76	0.9489256812	251710.5156
459	0.2999187742	531559.5701	0.9490592041	251619.6917
460	0.2997292361	530540.8792	0.9492542649	251373.5163
461	0.2994342716	529972.957	0.9493628492	251135.3802
462	0.2993507363	529127.8622	0.9495242124	250968.2161
463	0.2987301948	528474.8882	0.9496487156	250624.2339
464	0.2985586286	527659.8754	0.9498038991	250503.7468
465	0.2984909803	526884.5381	0.9499513058	250292.7671
466	0.2985162962	526157.3709	0.9500893575	250201.7075
467	0.298231355	525077.9476	0.950293933	249923.2945
468	0.2979662563	523996.5139	0.9504984682	249423.1759
469	0.2978035059	523734.5283	0.950547955	249356.4223
470	0.2976866075	522864.713	0.9507120779	249187.9636
471	0.2975219551	522609.6811	0.9507601474	249129.1074
472	0.2972923861	521598.8963	0.9509504339	248598.4696
473	0.2971712313	521162.8785	0.9510324031	248484.6624
474	0.2970436349	520424.1524	0.9511711237	248323.9718
475	0.2969055416	520178.8665	0.9512171408	248265.2079
476	0.2967338127	519102.6793	0.9514187837	247880.5639
477	0.2964721511	518092.0398	0.9516077648	247628.3725
478	0.2962838924	517116.7346	0.9517897895	247263.0764
479	0.2962331998	516107.6454	0.9519777584	247144.4288
480	0.2961036803	515872.4545	0.9520215161	247087.8603
481	0.295887487	515057.5087	0.9521729837	246843.6488
482	0.2954718999	514274.4009	0.9523183082	246371.207
483	0.2953292163	514088.6439	0.9523527474	246327.5013
484	0.2952645136	513319.1415	0.9524952802	246158.2163
485	0.2950750948	512564.6695	0.9526348216	246017.3149
486	0.2948628958	511648.5444	0.9528039852	245532.6567
487	0.2947494445	511409.5395	0.952848068	245477.0272
488	0.2945679476	510637.1541	0.9529903882	245335.5053
489	0.2943674185	509868.7725	0.9531317573	245106.615
490	0.2942813169	509696.5757	0.9531634093	245072.311
491	0.293750885	508635.073	0.9533582915	244352.1574
492	0.2937139014	508263.2472	0.9534264593	244193.9528
493	0.2936257989	507596.6573	0.953548542	244088.6965
494	0.2933848894	506688.2666	0.9537146515	243866.9999
495	0.2932161513	505998.7651	0.9538405361	243739.3234
496	0.2928360819	505125.3265	0.9539997564	243219.9863
497	0.2928541818	504807.7214	0.954057585	243193.1078
498	0.2925500859	504253.4801	0.9541584123	242921.2654
499	0.2924541951	504082.6013	0.9541894761	242875.7714
500	0.2924733408	503771.4834	0.9542460068	242850.1514
501	0.2924863315	503239.6875	0.9543425544	242754.3148
502	0.2923031527	502587.5762	0.954460806	242572.3794
503	0.2918839607	502187.1837	0.9545333357	242312.4483
504	0.2913953997	501172.0365	0.9547169673	241643.6936
505	0.2913673261	500445.7716	0.9548481145	241546.0631
506	0.2914017019	500131.274	0.9549048467	241523.9396
