iter	Passed	Remaining
543	3068	25136
544	3072	25115
545	3076	25093
546	3079	25071
547	3083	25048
548	3086	25026
549	3090	25003
550	3094	24983
551	3098	24967
552	3102	24946
553	3107	24934
554	3110	24912
555	3114	24890
556	3117	24866
557	3120	24844
558	3124	24822
559	3127	24799
560	3131	24778
561	3135	24757
562	3138	24736
563	3142	24716
564	3146	24699
565	3150	24681
566	3154	24661
567	3158	24641
568	3162	24625
569	3165	24603
570	3169	24583
571	3173	24569
572	3177	24549
573	3181	24533
574	3185	24515
575	3189	24495
576	3192	24475
577	3196	24453
578	3199	24432
579	3203	24411
580	3207	24394
581	3211	24376
582	3215	24358
583	3218	24338
584	3222	24318
585	3226	24302
586	3230	24284
587	3233	24265
588	3237	24246
589	3241	24225
590	3244	24203
591	3248	24185
592	3251	24165
593	3255	24150
594	3260	24136
595	3263	24116
596	3267	24098
597	3271	24081
598	3274	24062
599	3278	24043
600	3282	24028
601	3286	24008
602	3290	23991
603	3294	23976
604	3297	23956
605	3302	23945
606	3306	23927
607	3309	23908
608	3313	23890
609	3317	23871
610	3320	23851
611	3323	23832
612	3327	23812
613	3331	23797
614	3335	23780
615	3338	23762
616	3342	23745
617	3347	23733
618	3350	23715
619	3354	23696
620	3357	23676
621	3361	23659
622	3365	23641
623	3369	23627
624	3372	23608
625	3376	23595
626	3380	23579
627	3384	23562
628	3387	23542
629	3391	23526
630	3395	23509
631	3399	23491
632	3402	23475
633	3407	23462
634	3410	23445
635	3414	23428
636	3418	23411
637	3421	23393
638	3425	23375
639	3428	23357
640	3432	23340
641	3436	23324
642	3439	23306
643	3443	23290
644	3447	23274
645	3450	23256
646	3455	23250
647	3460	23240
648	3464	23228
649	3468	23212
650	3472	23198
651	3476	23183
652	3480	23167
653	3484	23153
654	3488	23140
655	3492	23124
656	3495	23108
657	3499	23091
658	3503	23075
659	3507	23062
660	3512	23054
661	3515	23037
662	3519	23022
663	3522	23005
664	3526	22987
665	3530	22971
666	3533	22956
667	3537	22941
668	3540	22923
669	3544	22906
670	3548	22890
671	3551	22873
672	3555	22856
673	3558	22842
674	3562	22826
675	3566	22815
676	3570	22802
677	3574	22786
678	3578	22772
679	3582	22760
680	3586	22744
681	3589	22728
682	3593	22712
683	3597	22697
684	3600	22681
685	3604	22665
686	3608	22652
687	3611	22637
688	3615	22620
689	3619	22608
690	3623	22595
691	3627	22582
692	3631	22567
693	3634	22553
694	3638	22540
695	3643	22530
696	3646	22514
697	3650	22499
698	3653	22483
699	3657	22469
700	3661	22454
701	3665	22440
702	3668	22425
703	3672	22410
704	3675	22393
705	3679	22377
706	3684	22373
707	3688	22360
708	3693	22355
709	3697	22343
710	3702	22333
711	3706	22323
712	3711	22313
713	3714	22298
714	3718	22287
715	3724	22285
716	3728	22273
717	3732	22259
718	3738	22261
719	3742	22247
720	3746	22234
721	3750	22221
722	3754	22207
723	3757	22193
724	3764	22197
725	3768	22185
726	3772	22173
727	3777	22166
728	3782	22159
729	3787	22152
730	3791	22140
731	3795	22130
732	3800	22121
733	3805	22116
734	3810	22109
735	3814	22098
736	3818	22086
737	3823	22080
738	3827	22068
739	3831	22054
740	3836	22050
741	3840	22038
742	3844	22028
743	3850	22027
744	3855	22017
745	3859	22008
746	3863	21994
747	3866	21980
748	3870	21969
749	3875	21960
750	3879	21950
751	3884	21943
752	3888	21930
753	3891	21915
754	3896	21906
755	3899	21893
756	3903	21879
757	3908	21870
758	3911	21857
759	3915	21843
760	3919	21831
761	3922	21817
762	3926	21803
763	3931	21799
764	3935	21786
765	3939	21773
766	3943	21761
767	3946	21746
768	3950	21733
769	3953	21719
770	3957	21709
771	3961	21695
772	3965	21682
773	3968	21668
774	3972	21655
775	3976	21642
776	3980	21631
777	3983	21617
778	3987	21605
779	3990	21590
780	3994	21578
781	3998	21565
782	4001	21552
783	4005	21539
784	4008	21525
785	4012	21512
786	4016	21498
787	4019	21484
788	4023	21472
789	4027	21460
790	4031	21449
791	4035	21438
792	4038	21424
793	4042	21413
794	4046	21403
795	4050	21391
796	4053	21378
797	4057	21363
798	4060	21351
799	4064	21338
800	4068	21325
801	4071	21312
802	4075	21301
803	4080	21293
804	4083	21280
805	4087	21267
806	4091	21258
807	4095	21245
808	4098	21233
809	4102	21222
810	4106	21211
811	4111	21203
812	4114	21191
813	4118	21180
814	4122	21170
815	4126	21158
816	4129	21144
817	4133	21132
818	4136	21118
819	4140	21105
820	4144	21094
821	4147	21083
822	4151	21071
823	4155	21059
824	4158	21046
825	4162	21034
826	4166	21021
827	4169	21009
828	4173	20996
829	4176	20982
830	4180	20970
831	4184	20964
832	4188	20952
833	4192	20940
834	4195	20928
835	4199	20915
836	4202	20903
837	4206	20891
838	4210	20880
839	4214	20870
840	4217	20858
841	4221	20846
842	4226	20840
843	4231	20835
844	4236	20829
845	4241	20827
846	4246	20820
847	4250	20810
848	4254	20801
849	4258	20793
850	4265	20794
851	4270	20790
852	4275	20784
853	4280	20779
854	4284	20768
855	4287	20758
856	4292	20750
857	4295	20738
858	4299	20726
859	4303	20714
860	4306	20703
861	4310	20691
862	4314	20680
863	4317	20668
864	4321	20656
865	4324	20645
866	4328	20634
867	4332	20624
868	4337	20618
869	4341	20610
870	4345	20601
871	4349	20588
872	4352	20577
873	4356	20566
874	4359	20554
875	4363	20542
876	4367	20530
877	4370	20520
878	4374	20508
879	4378	20497
880	4381	20485
881	4385	20474
882	4388	20463
883	4392	20451
884	4395	20439
885	4399	20428
886	4402	20415
887	4406	20404
888	4410	20394
889	4413	20383
890	4418	20375
891	4421	20363
892	4425	20354
893	4429	20344
894	4433	20332
895	4436	20321
896	4440	20311
897	4444	20301
898	4447	20289
899	4451	20279
900	4456	20272
901	4460	20262
902	4464	20255
903	4468	20246
904	4472	20238
905	4476	20227
906	4480	20217
907	4484	20208
908	4488	20199
909	4492	20191
910	4497	20185
911	4500	20175
912	4504	20164
913	4508	20154
914	4512	20144
915	4515	20134
916	4519	20123
917	4523	20113
918	4527	20103
919	4531	20096
920	4537	20097
921	4541	20089
922	4546	20080
923	4551	20079
924	4556	20071
925	4560	20064
926	4564	20053
927	4568	20044
928	4572	20037
929	4577	20032
930	4581	20022
931	4585	20013
932	4589	20007
933	4594	19999
934	4599	19994
935	4604	19993
936	4609	19985
937	4612	19976
938	4617	19967
939	4620	19958
940	4624	19949
941	4629	19942
942	4632	19932
943	4637	19924
944	4641	19914
945	4646	19913
946	4651	19908
947	4656	19901
948	4660	19894
949	4666	19893
950	4670	19885
951	4674	19876
952	4679	19870
953	4683	19862
954	4688	19858
955	4692	19848
956	4696	19841
957	4702	19839
958	4706	19830
959	4710	19821
960	4715	19818
961	4719	19811
962	4723	19803
963	4727	19794
964	4732	19788
965	4737	19784
966	4741	19776
967	4746	19769
968	4750	19763
969	4755	19758
970	4759	19748
971	4763	19739
972	4767	19731
973	4770	19720
974	4775	19712
975	4779	19704
976	4783	19695
977	4787	19690
978	4791	19681
979	4795	19673
980	4799	19663
981	4803	19654
982	4807	19647
983	4814	19650
984	4818	19641
985	4823	19637
986	4828	19632
987	4833	19628
988	4838	19621
989	4841	19610
990	4845	19600
991	4849	19594
992	4854	19588
993	4864	19606
994	4870	19604
995	4875	19597
996	4880	19594
997	4890	19610
998	4895	19604
999	4900	19600
1000	4903	19591
1001	4907	19583
1002	4918	19601
1003	4924	19599
1004	4930	19599
1005	4934	19592
1006	4939	19585
1007	4943	19578
1008	4948	19573
1009	4953	19568
1010	4958	19562
1011	4962	19554
1012	4966	19547
1013	4970	19540
1014	4975	19534
1015	4980	19528
1016	4985	19523
1017	4989	19516
1018	4993	19507
1019	4997	19498
1020	5001	19492
1021	5005	19482
1022	5009	19474
1023	5013	19467
1024	5018	19460
1025	5022	19453
1026	5026	19446
1027	5031	19442
1028	5037	19438
1029	5043	19438
1030	5047	19431
1031	5052	19428
1032	5057	19422
1033	5062	19418
1034	5069	19421
1035	5076	19423
1036	5081	19420
1037	5087	19416
1038	5091	19408
1039	5095	19400
1040	5099	19393
1041	5104	19387
1042	5107	19378
1043	5111	19370
1044	5115	19361
1045	5119	19352
1046	5123	19344
1047	5127	19336
1048	5131	19328
1049	5135	19319
1050	5139	19309
1051	5142	19300
1052	5146	19291
1053	5150	19283
1054	5154	19274
1055	5158	19264
1056	5161	19255
1057	5166	19248
1058	5170	19240
1059	5174	19233
1060	5178	19225
1061	5183	19221
1062	5187	19214
1063	5192	19207
1064	5196	19201
1065	5200	19193
1066	5204	19184
1067	5210	19181
1068	5214	19175
1069	5219	19169
1070	5224	19166
1071	5228	19157
1072	5234	19156
1073	5237	19147
1074	5242	19139
1075	5246	19131
1076	5250	19123
1077	5254	19115
1078	5257	19106
1079	5262	19101
1080	5267	19096
1081	5272	19091
1082	5276	19082
1083	5280	19074
1084	5283	19065
1085	5287	19057
1086	5293	19057
1087	5298	19052
1088	5304	19048
1089	5308	19042
1090	5313	19037
1091	5317	19031
1092	5321	19021
1093	5324	19011
1094	5329	19004
1095	5332	18995
1096	5336	18986
1097	5340	18979
1098	5344	18969
1099	5347	18958
1100	5350	18948
1101	5354	18939
1102	5358	18930
1103	5361	18921
1104	5366	18915
1105	5370	18907
1106	5373	18897
1107	5377	18889
1108	5381	18879
1109	5385	18872
1110	5389	18864
1111	5393	18857
1112	5397	18848
1113	5401	18841
1114	5404	18832
1115	5408	18824
1116	5412	18814
1117	5416	18808
1118	5420	18799
1119	5424	18790
1120	5427	18781
1121	5431	18773
1122	5435	18764
1123	5438	18755
1124	5443	18751
1125	5448	18744
1126	5451	18736
1127	5455	18727
1128	5459	18718
1129	5463	18709
1130	5466	18700
1131	5471	18695
1132	5475	18687
1133	5479	18679
1134	5483	18671
1135	5486	18662
1136	5490	18653
1137	5493	18644
1138	5497	18635
1139	5501	18626
1140	5505	18618
1141	5510	18617
1142	5520	18629
1143	5526	18626
1144	5531	18622
1145	5534	18613
1146	5538	18606
1147	5543	18600
1148	5549	18599
1149	5553	18591
1150	5556	18582
1151	5562	18579
1152	5566	18571
1153	5569	18562
1154	5574	18557
1155	5577	18547
1156	5581	18539
1157	5586	18535
1158	5590	18525
1159	5593	18517
1160	5599	18515
1161	5603	18507
1162	5606	18498
1163	5612	18495
1164	5616	18487
1165	5619	18478
1166	5623	18471
1167	5627	18463
1168	5631	18455
1169	5636	18449
1170	5641	18446
1171	5646	18442
1172	5650	18434
1173	5654	18427
1174	5659	18422
1175	5663	18414
1176	5667	18407
1177	5671	18401
1178	5675	18393
1179	5679	18386
1180	5683	18380
1181	5689	18376
1182	5693	18369
1183	5696	18360
1184	5700	18351
1185	5703	18342
1186	5707	18334
1187	5713	18332
1188	5716	18323
1189	5720	18314
1190	5723	18305
1191	5727	18297
1192	5731	18291
1193	5735	18282
1194	5739	18274
1195	5743	18266
1196	5747	18261
1197	5751	18253
1198	5757	18253
1199	5761	18246
1200	5765	18238
1201	5773	18242
1202	5777	18235
1203	5783	18233
1204	5788	18229
1205	5793	18226
1206	5798	18221
1207	5803	18216
1208	5808	18214
1209	5813	18209
1210	5819	18208
1211	5825	18208
1212	5831	18207
1213	5838	18207
1214	5846	18214
1215	5852	18211
1216	5858	18211
1217	5864	18209
1218	5870	18208
1219	5875	18204
1220	5880	18200
1221	5886	18200
1222	5891	18194
1223	5899	18198
1224	5904	18195
1225	5909	18192
1226	5915	18190
1227	5921	18189
1228	5925	18182
1229	5930	18176
1230	5935	18171
1231	5939	18166
1232	5943	18159
1233	5947	18151
1234	5951	18142
1235	5955	18135
1236	5959	18127
1237	5962	18119
1238	5970	18122
1239	5973	18113
1240	5977	18105
1241	5980	18096
1242	5984	18088
1243	5988	18080
1244	5992	18073
1245	5996	18066
1246	6000	18060
1247	6005	18054
1248	6009	18047
1249	6014	18044
1250	6019	18040
1251	6023	18032
1252	6027	18024
1253	6031	18016
1254	6034	18007
1255	6038	17999
1256	6042	17992
1257	6046	17985
1258	6050	17979
1259	6055	17973
1260	6059	17967
1261	6063	17959
1262	6067	17952
1263	6071	17945
1264	6076	17940
1265	6080	17933
1266	6084	17926
1267	6087	17917
1268	6091	17910
1269	6095	17902
1270	6099	17894
1271	6103	17887
1272	6107	17881
1273	6111	17874
1274	6115	17867
1275	6120	17861
1276	6124	17855
1277	6128	17848
1278	6132	17840
1279	6136	17832
1280	6139	17824
1281	6144	17818
1282	6148	17812
1283	6152	17807
1284	6156	17800
1285	6161	17794
1286	6165	17786
1287	6171	17786
1288	6176	17781
1289	6181	17779
1290	6185	17770
1291	6191	17769
1292	6196	17765
1293	6202	17762
1294	6208	17761
1295	6212	17755
1296	6216	17748
1297	6220	17740
1298	6224	17735
1299	6229	17730
1300	6234	17727
1301	6239	17720
1302	6243	17714
1303	6247	17706
1304	6251	17700
1305	6255	17693
1306	6259	17686
1307	6263	17680
1308	6268	17676
1309	6274	17673
1310	6279	17668
1311	6282	17659
1312	6287	17654
1313	6292	17651
1314	6296	17643
1315	6300	17636
1316	6303	17628
1317	6308	17623
1318	6312	17617
1319	6317	17612
1320	6321	17605
1321	6325	17597
1322	6328	17590
1323	6332	17581
1324	6336	17573
1325	6339	17565
1326	6343	17557
1327	6347	17549
1328	6350	17542
1329	6354	17534
1330	6358	17526
1331	6362	17520
1332	6366	17512
1333	6369	17504
1334	6373	17497
1335	6377	17490
1336	6380	17481
1337	6384	17474
1338	6388	17468
1339	6392	17461
1340	6396	17453
1341	6400	17446
1342	6404	17438
1343	6407	17430
1344	6411	17422
1345	6415	17414
1346	6421	17413
1347	6425	17408
1348	6429	17401
1349	6434	17395
1350	6438	17388
1351	6442	17382
1352	6445	17374
1353	6449	17367
1354	6453	17359
1355	6457	17352
1356	6461	17346
1357	6466	17341
1358	6470	17334
1359	6474	17327
1360	6478	17321
1361	6482	17316
1362	6486	17309
1363	6491	17303
1364	6495	17296
1365	6498	17288
1366	6503	17282
1367	6506	17275
1368	6510	17268
1369	6515	17262
1370	6519	17256
1371	6522	17248
1372	6526	17241
1373	6530	17235
1374	6535	17230
1375	6541	17229
1376	6546	17225
1377	6551	17219
1378	6555	17213
1379	6559	17207
1380	6564	17202
1381	6568	17197
1382	6573	17191
1383	6578	17188
1384	6583	17183
1385	6587	17177
1386	6591	17170
1387	6595	17163
1388	6599	17157
1389	6604	17152
1390	6608	17146
1391	6613	17140
1392	6617	17134
1393	6621	17127
1394	6626	17123
1395	6630	17118
1396	6635	17112
1397	6639	17106
1398	6643	17100
1399	6647	17094
1400	6651	17087
1401	6656	17082
1402	6660	17076
1403	6665	17071
1404	6669	17064
1405	6673	17058
1406	6677	17052
1407	6682	17047
1408	6687	17043
1409	6691	17036
1410	6695	17030
1411	6700	17026
1412	6705	17022
1413	6710	17018
1414	6715	17013
1415	6719	17007
1416	6724	17003
1417	6728	16996
1418	6732	16990
1419	6737	16985
1420	6741	16980
1421	6747	16976
1422	6751	16970
1423	6755	16965
1424	6760	16959
1425	6764	16953
1426	6768	16947
1427	6773	16942
1428	6778	16939
1429	6783	16935
1430	6788	16930
1431	6793	16926
1432	6797	16920
1433	6801	16914
1434	6806	16908
1435	6812	16908
1436	6816	16901
1437	6820	16895
1438	6824	16889
1439	6829	16883
1440	6833	16878
1441	6839	16874
1442	6845	16874
1443	6849	16868
1444	6854	16863
1445	6859	16858
1446	6864	16854
1447	6868	16848
1448	6872	16842
1449	6876	16836
1450	6880	16830
1451	6885	16824
1452	6889	16818
1453	6893	16812
1454	6898	16807
1455	6902	16801
1456	6906	16794
1457	6910	16789
1458	6915	16784
1459	6920	16778
1460	6926	16777
1461	6931	16773
1462	6936	16768
1463	6941	16766
1464	6946	16760
1465	6950	16754
1466	6953	16747
1467	6958	16742
1468	6962	16735
1469	6966	16728
1470	6971	16723
1471	6976	16719
1472	6980	16714
1473	6985	16709
1474	6989	16703
1475	6993	16697
1476	6997	16691
1477	7003	16688
1478	7008	16684
1479	7012	16679
1480	7018	16675
1481	7023	16672
1482	7028	16668
1483	7032	16661
1484	7036	16656
1485	7041	16652
1486	7046	16648
1487	7051	16643
1488	7056	16638
1489	7060	16633
1490	7065	16627
1491	7070	16623
1492	7074	16616
1493	7079	16613
1494	7083	16607
1495	7088	16602
1496	7091	16595
1497	7096	16590
1498	7101	16586
1499	7106	16581
1500	7110	16575
1501	7114	16569
1502	7119	16564
1503	7123	16558
1504	7128	16553
1505	7132	16547
1506	7136	16541
1507	7141	16536
1508	7145	16530
1509	7149	16524
1510	7154	16519
1511	7160	16518
1512	7170	16524
1513	7174	16520
1514	7180	16516
1515	7185	16512
1516	7190	16508
1517	7195	16504
1518	7200	16499
1519	7204	16493
1520	7208	16487
1521	7212	16480
1522	7216	16475
1523	7220	16469
1524	7225	16463
1525	7229	16458
1526	7234	16452
1527	7238	16447
1528	7243	16442
1529	7247	16436
1530	7251	16430
1531	7255	16423
1532	7259	16417
1533	7264	16413
1534	7268	16408
1535	7273	16402
1536	7277	16396
1537	7282	16391
1538	7286	16385
1539	7290	16379
1540	7293	16372
1541	7297	16365
1542	7301	16357
1543	7304	16350
1544	7308	16343
1545	7313	16339
1546	7317	16332
1547	7321	16327
1548	7325	16321
1549	7330	16315
1550	7334	16310
1551	7340	16306
1552	7344	16301
1553	7349	16296
1554	7353	16291
1555	7358	16286
1556	7362	16280
1557	7367	16275
1558	7371	16269
1559	7375	16264
1560	7380	16258
1561	7384	16252
1562	7388	16246
1563	7392	16241
1564	7397	16236
1565	7401	16231
1566	7405	16225
1567	7410	16219
1568	7414	16214
1569	7419	16209
1570	7424	16206
1571	7429	16200
1572	7433	16194
1573	7438	16189
1574	7442	16185
1575	7447	16179
1576	7451	16173
1577	7455	16167
1578	7460	16163
1579	7464	16157
1580	7469	16152
1581	7473	16147
1582	7477	16140
1583	7482	16135
1584	7487	16132
1585	7491	16126
1586	7496	16121
1587	7501	16118
1588	7506	16113
1589	7510	16108
1590	7515	16102
1591	7519	16097
1592	7524	16092
1593	7528	16086
1594	7533	16083
1595	7538	16077
1596	7542	16071
1597	7546	16065
1598	7550	16059
1599	7554	16053
1600	7558	16047
1601	7562	16041
1602	7566	16034
1603	7570	16029
1604	7574	16022
1605	7579	16017
1606	7587	16021
1607	7591	16014
1608	7595	16007
1609	7600	16002
1610	7604	15996
1611	7607	15989
1612	7612	15984
1613	7616	15978
1614	7620	15972
1615	7625	15968
1616	7629	15961
1617	7634	15957
1618	7639	15953
1619	7643	15948
1620	7648	15943
1621	7653	15939
1622	7661	15940
1623	7666	15936
1624	7670	15930
1625	7674	15925
1626	7679	15920
1627	7683	15914
1628	7688	15911
1629	7693	15905
1630	7698	15901
1631	7702	15895
1632	7706	15889
1633	7711	15885
1634	7715	15879
1635	7719	15873
1636	7724	15868
1637	7729	15863
1638	7732	15857
1639	7738	15853
1640	7742	15849
1641	7747	15843
1642	7752	15839
1643	7756	15834
1644	7760	15828
1645	7766	15825
1646	7772	15824
1647	7777	15818
1648	7782	15814
1649	7787	15810
1650	7791	15805
1651	7796	15799
1652	7800	15793
1653	7804	15789
1654	7809	15784
1655	7815	15781
1656	7819	15776
1657	7823	15770
1658	7828	15765
1659	7833	15761
1660	7838	15757
1661	7843	15752
1662	7847	15747
1663	7852	15742
1664	7856	15737
1665	7862	15735
1666	7867	15729
1667	7872	15725
1668	7877	15721
1669	7881	15716
1670	7886	15711
1671	7891	15707
1672	7895	15702
1673	7903	15703
1674	7908	15699
1675	7913	15694
